I0,I1,I2
-13956.000,-13934.000,6.900
-13968.000,-13940.000,6.900
-13975.000,-13947.000,6.900
-13965.000,-13952.000,6.900
-13963.000,-13955.000,6.900
-13958.000,-13957.000,6.900
-13954.000,-13957.000,6.900
-13966.000,-13958.000,6.900
-13982.000,-13960.000,6.900
-13976.000,-13964.000,6.900
-13974.000,-13967.000,6.900
-13970.000,-13969.000,6.900
-13972.000,-13969.000,6.900
-13973.000,-13970.000,6.900
-13976.000,-13971.000,6.900
-13977.000,-13972.000,6.900
-13981.000,-13973.000,6.900
-13983.000,-13975.000,6.900
-13980.000,-13977.000,6.900
-13963.000,-13978.000,6.900
-13959.000,-13974.000,6.900
-13957.000,-13970.000,6.900
-13963.000,-13967.000,6.900
-13967.000,-13966.000,6.900
-13967.000,-13966.000,6.900
-13963.000,-13967.000,6.900
-13944.000,-13966.000,6.900
-13948.000,-13961.000,6.900
-13954.000,-13958.000,6.900
-13949.000,-13956.000,6.900
-13952.000,-13955.000,6.900
-13950.000,-13954.000,6.900
-13945.000,-13953.000,6.900
-13939.000,-13951.000,6.900
-13947.000,-13949.000,6.900
-13952.000,-13949.000,6.900
-13942.000,-13948.000,6.900
-13942.000,-13947.000,6.900
-13943.000,-13946.000,6.900
-13950.000,-13945.000,6.900
-13937.000,-13944.000,6.900
-13927.000,-13943.000,6.900
-13916.000,-13939.000,6.900
-13920.000,-13934.000,6.900
-13933.000,-13931.000,6.900
-13957.000,-13931.000,6.900
-13944.000,-13934.000,6.900
-13946.000,-13937.000,6.900
-13948.000,-13939.000,6.900
-13948.000,-13942.000,6.900
-13943.000,-13943.000,6.900
-13933.000,-13943.000,6.900
-13928.000,-13941.000,6.900
-13934.000,-13939.000,6.900
-13932.000,-13937.000,6.900
-13927.000,-13936.000,6.900
-13941.000,-13935.000,6.900
-13937.000,-13935.000,6.900
-13925.000,-13936.000,6.900
-13921.000,-13933.000,6.900
-13919.000,-13930.000,6.900
-13919.000,-13927.000,6.900
-13911.000,-13925.000,7.000
-13931.000,-13924.000,7.000
-13927.000,-13925.000,7.000
-13906.000,-13925.000,7.000
-13907.000,-13921.000,7.000
-13916.000,-13917.000,7.000
-13914.000,-13916.000,7.000
-13925.000,-13916.000,7.000
-13913.000,-13916.000,7.000
-13907.000,-13915.000,7.000
-13911.000,-13914.000,7.000
-13902.000,-13912.000,7.000
-13898.000,-13910.000,7.000
-13907.000,-13908.000,7.000
-13919.000,-13908.000,7.000
-13904.000,-13907.000,7.000
-13891.000,-13907.000,7.000
-13899.000,-13905.000,7.000
-13905.000,-13903.000,7.000
-13904.000,-13903.000,7.000
-13888.000,-13904.000,7.000
-13891.000,-13900.000,7.000
-13899.000,-13898.000,7.000
-13899.000,-13898.000,7.000
-13892.000,-13898.000,7.000
-13886.000,-13897.000,7.000
-13901.000,-13896.000,7.000
-13899.000,-13896.000,7.000
-13877.000,-13897.000,7.000
-13836.000,-13892.000,7.000
-13817.000,-13878.000,7.000
-13823.000,-13864.000,7.100
-13833.000,-13854.000,7.100
-13858.000,-13849.000,7.100
-13850.000,-13849.000,7.100
-13871.000,-13851.000,7.100
-13889.000,-13856.000,7.100
-13885.000,-13863.000,7.100
-13894.000,-13870.000,7.100
-13901.000,-13876.000,7.000
-13886.000,-13880.000,7.000
-13876.000,-13882.000,7.000
-13864.000,-13880.000,7.000
-13866.000,-13877.000,7.000
-13862.000,-13874.000,7.000
-13854.000,-13871.000,7.100
-13845.000,-13867.000,7.100
-13858.000,-13863.000,7.100
-13857.000,-13862.000,7.100
-13834.000,-13861.000,7.100
-13829.000,-13854.000,7.100
-13821.000,-13848.000,7.100
-13829.000,-13843.000,7.100
-13817.000,-13838.000,7.100
-13820.000,-13833.000,7.100
-13829.000,-13830.000,7.100
-13834.000,-13830.000,7.100
-13846.000,-13831.000,7.100
-13850.000,-13835.000,7.100
-13838.000,-13837.000,7.100
-13835.000,-13838.000,7.100
-13827.000,-13837.000,7.100
-13825.000,-13834.000,7.100
-13828.000,-13833.000,7.100
-13836.000,-13831.000,7.100
-13828.000,-13831.000,7.100
-13828.000,-13830.000,7.100
-13830.000,-13829.000,7.100
-13830.000,-13830.000,7.100
-13821.000,-13830.000,7.100
-13825.000,-13829.000,7.100
-13832.000,-13828.000,7.100
-13831.000,-13828.000,7.100
-13821.000,-13829.000,7.100
-13799.000,-13827.000,7.100
-13802.000,-13821.000,7.100
