I0,I1,I2
177376.000,177376.000,309.400
176544.000,177168.000,309.200
176130.000,176909.000,308.900
175888.000,176714.000,308.700
175711.000,176507.000,308.500
175562.000,176308.000,308.300
175414.000,176122.000,308.100
175313.000,175945.000,307.800
175266.000,175787.000,307.500
175235.000,175657.000,307.300
175222.000,175551.000,307.200
175169.000,175469.000,307.000
175131.000,175394.000,306.900
175112.000,175328.000,306.800
175063.000,175274.000,306.700
175008.000,175221.000,306.600
174954.000,175168.000,306.500
174914.000,175115.000,306.500
174918.000,175065.000,306.400
174937.000,175029.000,306.300
174909.000,175001.000,306.300
174873.000,174978.000,306.200
174869.000,174952.000,306.200
174857.000,174931.000,306.200
174832.000,174913.000,306.200
174788.000,174892.000,306.100
174755.000,174866.000,306.100
174748.000,174838.000,306.000
174746.000,174816.000,306.000
174743.000,174798.000,306.000
174727.000,174785.000,306.000
174720.000,174770.000,306.000
174705.000,174758.000,305.900
174692.000,174744.000,305.900
174656.000,174731.000,305.900
174609.000,174713.000,305.900
174571.000,174687.000,305.900
174573.000,174658.000,305.800
174589.000,174637.000,305.800
174597.000,174625.000,305.800
174585.000,174616.000,305.800
174586.000,174608.000,305.800
174567.000,174603.000,305.800
174548.000,174594.000,305.700
174524.000,174582.000,305.700
174496.000,174568.000,305.700
174486.000,174550.000,305.700
174496.000,174536.000,305.700
174518.000,174526.000,305.700
174515.000,174523.000,305.600
174496.000,174521.000,305.600
174508.000,174518.000,305.600
174503.000,174514.000,305.600
174472.000,174511.000,305.600
174465.000,174502.000,305.600
174462.000,174492.000,305.600
174464.000,174485.000,305.600
174471.000,174480.000,305.600
174495.000,174478.000,305.600
174496.000,174482.000,305.600
174500.000,174486.000,305.600
174500.000,174489.000,305.600
174483.000,174492.000,305.700
174447.000,174490.000,305.700
174431.000,174479.000,305.600
174417.000,174467.000,305.600
174414.000,174455.000,305.600
174419.000,174445.000,305.600
174418.000,174438.000,305.600
174428.000,174434.000,305.600
174430.000,174432.000,305.600
174423.000,174431.000,305.600
174408.000,174429.000,305.600
174373.000,174424.000,305.600
174362.000,174411.000,305.600
174366.000,174400.000,305.600
174375.000,174391.000,305.600
174382.000,174387.000,305.600
174390.000,174386.000,305.600
174394.000,174387.000,305.600
174402.000,174389.000,305.600
174395.000,174390.000,305.600
174391.000,174391.000,305.600
174384.000,174391.000,305.600
174362.000,174390.000,305.600
174377.000,174386.000,305.600
174394.000,174384.000,305.600
174390.000,174386.000,305.600
174381.000,174387.000,305.600
174396.000,174387.000,305.600
174399.000,174390.000,305.600
174383.000,174391.000,305.600
174362.000,174389.000,305.600
174354.000,174382.000,305.500
174345.000,174375.000,305.500
