I0,I1,I2
561439.000,561439.000,1026.300
560674.000,561248.000,1026.100
560280.000,561006.000,1025.800
560042.000,560824.000,1025.600
559875.000,560629.000,1025.400
559741.000,560440.000,1025.200
559651.000,560265.000,1025.100
559587.000,560112.000,1024.800
559537.000,559981.000,1024.600
559476.000,559870.000,1024.400
559436.000,559771.000,1024.200
559414.000,559687.000,1024.000
559403.000,559619.000,1023.900
559392.000,559565.000,1023.800
559378.000,559522.000,1023.800
559363.000,559486.000,1023.700
559354.000,559455.000,1023.700
559347.000,559430.000,1023.700
559338.000,559409.000,1023.600
559322.000,559391.000,1023.600
559333.000,559377.000,1023.600
559313.000,559363.000,1023.600
559293.000,559351.000,1023.500
559305.000,559339.000,1023.500
559293.000,559328.000,1023.500
559257.000,559319.000,1023.500
559266.000,559306.000,1023.500
559242.000,559294.000,1023.500
559233.000,559281.000,1023.500
559230.000,559269.000,1023.500
559231.000,559259.000,1023.400
559230.000,559252.000,1023.400
559207.000,559246.000,1023.400
559206.000,559237.000,1023.400
559201.000,559229.000,1023.400
559194.000,559222.000,1023.400
559193.000,559215.000,1023.400
559185.000,559209.000,1023.400
559193.000,559205.000,1023.400
559190.000,559202.000,1023.400
559198.000,559199.000,1023.400
559193.000,559198.000,1023.400
559182.000,559197.000,1023.400
559147.000,559193.000,1023.400
559163.000,559185.000,1023.400
559172.000,559180.000,1023.400
559167.000,559177.000,1023.400
559158.000,559174.000,1023.400
559136.000,559170.000,1023.400
559135.000,559162.000,1023.400
559126.000,559155.000,1023.400
559117.000,559148.000,1023.400
559115.000,559140.000,1023.400
559118.000,559134.000,1023.400
559103.000,559129.000,1023.400
559087.000,559123.000,1023.300
559095.000,559116.000,1023.300
559095.000,559111.000,1023.300
559063.000,559107.000,1023.300
559054.000,559096.000,1023.300
559053.000,559085.000,1023.300
559058.000,559078.000,1023.300
559072.000,559073.000,1023.300
559056.000,559069.000,1023.300
559045.000,559066.000,1023.300
559040.000,559061.000,1023.300
559025.000,559055.000,1023.300
559019.000,559048.000,1023.300
559002.000,559041.000,1023.300
559011.000,559033.000,1023.300
559019.000,559028.000,1023.300
559030.000,559025.000,1023.300
559020.000,559024.000,1023.300
559013.000,559023.000,1023.300
559013.000,559021.000,1023.300
559022.000,559019.000,1023.300
559032.000,559020.000,1023.300
559009.000,559020.000,1023.300
559025.000,559021.000,1023.300
559033.000,559022.000,1023.300
559022.000,559023.000,1023.300
559039.000,559025.000,1023.300
559039.000,559029.000,1023.300
559024.000,559031.000,1023.300
559004.000,559030.000,1023.300
559021.000,559027.000,1023.300
559017.000,559025.000,1023.300
559018.000,559023.000,1023.300
559028.000,559022.000,1023.300
559027.000,559023.000,1023.300
559027.000,559024.000,1023.300
558990.000,559025.000,1023.300
558982.000,559016.000,1023.300
558988.000,559009.000,1023.300
559006.000,559004.000,1023.300
559006.000,559004.000,1023.300
559013.000,559005.000,1023.300
559006.000,559005.000,1023.300
558991.000,559005.000,1023.200
558974.000,559002.000,1023.200
558978.000,558996.000,1023.200
558975.000,558991.000,1023.200
558990.000,558987.000,1023.200
558984.000,558987.000,1023.200
558994.000,558987.000,1023.100
558993.000,558989.000,1023.100
558981.000,558990.000,1023.100
558967.000,558988.000,1023.100
558980.000,558986.000,1023.100
558974.000,558983.000,1023.100
558973.000,558981.000,1023.100
558975.000,558979.000,1023.000
558950.000,558977.000,1023.000
558930.000,558971.000,1023.000
558953.000,558965.000,1023.000
558957.000,558962.000,1023.000
558949.000,558960.000,1022.900
558950.000,558958.000,1022.900
558952.000,558956.000,1022.900
558949.000,558954.000,1022.900
558941.000,558953.000,1022.900
558918.000,558950.000,1022.900
558925.000,558944.000,1022.800
558950.000,558939.000,1022.800
558947.000,558941.000,1022.800
558949.000,558943.000,1022.800
558989.000,558945.000,1022.800
558978.000,558953.000,1022.800
558961.000,558959.000,1022.800
558969.000,558962.000,1022.800
558955.000,558961.000,1022.800
558941.000,558960.000,1022.800
558953.000,558958.000,1022.700
558976.000,558957.000,1022.700
558978.000,558962.000,1022.700
558989.000,558966.000,1022.700
558990.000,558972.000,1022.700
558970.000,558976.000,1022.700
558951.000,558974.000,1022.700
558945.000,558969.000,1022.700
558962.000,558964.000,1022.600
558977.000,558964.000,1022.600
558993.000,558967.000,1022.600
559006.000,558973.000,1022.600
558990.000,558978.000,1022.600
558971.000,558981.000,1022.600
558966.000,558979.000,1022.600
558965.000,558976.000,1022.600
558968.000,558973.000,1022.600
558990.000,558972.000,1022.600
559011.000,558976.000,1022.600
559029.000,558985.000,1022.600
559028.000,558996.000,1022.600
559016.000,559004.000,1022.600
559019.000,559008.000,1022.600
559023.000,559010.000,1022.600
559030.000,559014.000,1022.600
559036.000,559018.000,1022.600
559053.000,559022.000,1022.600
559044.000,559028.000,1022.600
559035.000,559032.000,1022.600
559033.000,559033.000,1022.600
559029.000,559033.000,1022.600
559027.000,559032.000,1022.600
559037.000,559031.000,1022.600
559053.000,559033.000,1022.600
559051.000,559037.000,1022.600
559047.000,559041.000,1022.600
559035.000,559042.000,1022.600
559014.000,559040.000,1022.600
559026.000,559037.000,1022.600
559043.000,559034.000,1022.600
559051.000,559036.000,1022.600
559075.000,559040.000,1022.600
559083.000,559049.000,1022.600
559059.000,559055.000,1022.600
559062.000,559057.000,1022.600
559063.000,559058.000,1022.600
559043.000,559059.000,1022.600
559041.000,559055.000,1022.600
559047.000,559052.000,1022.600
559047.000,559051.000,1022.600
559069.000,559050.000,1022.600
559068.000,559054.000,1022.600
559050.000,559058.000,1022.600
559066.000,559060.000,1022.600
559056.000,559059.000,1022.600
559044.000,559058.000,1022.600
559063.000,559058.000,1022.600
559079.000,559059.000,1022.500
559083.000,559064.000,1022.600
559075.000,559068.000,1022.600
559069.000,559070.000,1022.600
559042.000,559069.000,1022.500
559048.000,559064.000,1022.500
559059.000,559060.000,1022.500
559054.000,559059.000,1022.500
559056.000,559058.000,1022.500
559059.000,559057.000,1022.500
559069.000,559058.000,1022.500
559068.000,559060.000,1022.500
559075.000,559063.000,1022.500
559087.000,559066.000,1022.500
559091.000,559071.000,1022.500
559100.000,559076.000,1022.500
559092.000,559080.000,1022.500
559108.000,559085.000,1022.500
559107.000,559090.000,1022.500
559100.000,559095.000,1022.500
559114.000,559098.000,1022.500
559106.000,559100.000,1022.500
559106.000,559101.000,1022.500
559112.000,559102.000,1022.500
559117.000,559105.000,1022.500
559116.000,559108.000,1022.500
559110.000,559110.000,1022.500
559100.000,559110.000,1022.500
559112.000,559110.000,1022.500
559128.000,559110.000,1022.500
559137.000,559115.000,1022.500
559153.000,559120.000,1022.500
559160.000,559129.000,1022.600
559159.000,559136.000,1022.600
559124.000,559142.000,1022.600
559130.000,559139.000,1022.600
559122.000,559135.000,1022.600
559116.000,559132.000,1022.500
559127.000,559129.000,1022.500
559132.000,559129.000,1022.500
559125.000,559128.000,1022.500
559135.000,559129.000,1022.500
559146.000,559131.000,1022.500
559133.000,559132.000,1022.500
559143.000,559135.000,1022.500
559145.000,559137.000,1022.500
559139.000,559138.000,1022.500
559141.000,559139.000,1022.500
559148.000,559139.000,1022.500
559151.000,559142.000,1022.500
559147.000,559143.000,1022.500
559142.000,559144.000,1022.500
559156.000,559145.000,1022.500
559174.000,559148.000,1022.500
559161.000,559151.000,1022.500
559192.000,559157.000,1022.500
559201.000,559166.000,1022.500
559189.000,559172.000,1022.500
559188.000,559176.000,1022.600
559211.000,559180.000,1022.600
559213.000,559187.000,1022.600
559225.000,559194.000,1022.600
559232.000,559202.000,1022.600
559237.000,559209.000,1022.600
559256.000,559216.000,1022.600
559252.000,559225.000,1022.600
559242.000,559232.000,1022.600
559237.000,559234.000,1022.600
559238.000,559235.000,1022.600
559229.000,559236.000,1022.600
559247.000,559236.000,1022.600
559242.000,559238.000,1022.600
559242.000,559239.000,1022.600
559240.000,559240.000,1022.600
559210.000,559240.000,1022.600
559201.000,559232.000,1022.600
559189.000,559224.000,1022.600
559198.000,559218.000,1022.600
559221.000,559213.000,1022.600
559250.000,559215.000,1022.600
559251.000,559224.000,1022.600
559240.000,559230.000,1022.600
559224.000,559233.000,1022.600
559236.000,559234.000,1022.600
559227.000,559232.000,1022.600
559225.000,559231.000,1022.600
559237.000,559230.000,1022.600
559246.000,559232.000,1022.600
559253.000,559235.000,1022.600
559257.000,559240.000,1022.600
559246.000,559243.000,1022.600
559236.000,559244.000,1022.600
559249.000,559244.000,1022.600
559248.000,559245.000,1022.600
559225.000,559246.000,1022.600
559227.000,559241.000,1022.500
559239.000,559238.000,1022.500
559253.000,559238.000,1022.500
559255.000,559242.000,1022.500
559228.000,559245.000,1022.500
559229.000,559241.000,1022.500
559218.000,559238.000,1022.500
559229.000,559235.000,1022.500
559244.000,559234.000,1022.500
559254.000,559236.000,1022.500
559255.000,559241.000,1022.500
559256.000,559244.000,1022.500
559244.000,559247.000,1022.500
559242.000,559246.000,1022.500
559251.000,559246.000,1022.500
559259.000,559247.000,1022.500
559254.000,559249.000,1022.500
559271.000,559251.000,1022.500
559278.000,559256.000,1022.500
559262.000,559260.000,1022.500
559266.000,559261.000,1022.500
559283.000,559263.000,1022.500
559276.000,559266.000,1022.500
559272.000,559268.000,1022.500
559291.000,559270.000,1022.500
559290.000,559275.000,1022.500
559271.000,559279.000,1022.500
559299.000,559282.000,1022.500
559295.000,559285.000,1022.500
559274.000,559288.000,1022.500
559305.000,559289.000,1022.500
559311.000,559293.000,1022.500
559284.000,559296.000,1022.500
559302.000,559298.000,1022.500
559309.000,559299.000,1022.500
559294.000,559300.000,1022.500
559290.000,559298.000,1022.500
559306.000,559297.000,1022.500
559310.000,559299.000,1022.500
559318.000,559302.000,1022.500
559314.000,559305.000,1022.500
559311.000,559307.000,1022.500
559307.000,559308.000,1022.500
559310.000,559309.000,1022.500
559318.000,559309.000,1022.500
559324.000,559311.000,1022.500
559323.000,559314.000,1022.500
559320.000,559316.000,1022.500
559325.000,559318.000,1022.500
559323.000,559319.000,1022.500
559335.000,559321.000,1022.500
559331.000,559323.000,1022.500
559339.000,559326.000,1022.500
559347.000,559329.000,1022.500
559334.000,559332.000,1022.500
559332.000,559332.000,1022.500
559341.000,559333.000,1022.400
559345.000,559335.000,1022.400
559340.000,559336.000,1022.400
559351.000,559339.000,1022.400
559347.000,559341.000,1022.400
559341.000,559342.000,1022.400
559333.000,559342.000,1022.400
559344.000,559342.000,1022.400
559335.000,559340.000,1022.400
559331.000,559339.000,1022.400
559331.000,559337.000,1022.400
559316.000,559335.000,1022.400
559335.000,559334.000,1022.400
559334.000,559334.000,1022.400
559335.000,559334.000,1022.400
559362.000,559335.000,1022.400
559340.000,559336.000,1022.400
559337.000,559337.000,1022.400
559350.000,559338.000,1022.400
559340.000,559338.000,1022.400
559343.000,559339.000,1022.400
559337.000,559340.000,1022.400
559312.000,559339.000,1022.300
559319.000,559334.000,1022.300
559329.000,559330.000,1022.300
559345.000,559330.000,1022.300
559353.000,559334.000,1022.300
559353.000,559339.000,1022.300
559361.000,559342.000,1022.300
559345.000,559345.000,1022.300
559346.000,559345.000,1022.300
559361.000,559345.000,1022.300
559360.000,559349.000,1022.300
559345.000,559352.000,1022.300
559343.000,559350.000,1022.300
559341.000,559348.000,1022.300
559340.000,559346.000,1022.300
559349.000,559345.000,1022.300
559351.000,559346.000,1022.300
559356.000,559347.000,1022.300
559351.000,559348.000,1022.300
559355.000,559350.000,1022.300
559344.000,559350.000,1022.300
559343.000,559349.000,1022.300
559335.000,559347.000,1022.300
559341.000,559346.000,1022.200
559337.000,559344.000,1022.200
559347.000,559343.000,1022.200
559357.000,559344.000,1022.200
559345.000,559345.000,1022.200
559346.000,559345.000,1022.200
559332.000,559345.000,1022.200
559345.000,559345.000,1022.200
559363.000,559345.000,1022.200
559373.000,559350.000,1022.200
559400.000,559355.000,1022.200
559388.000,559364.000,1022.200
559383.000,559370.000,1022.200
559401.000,559374.000,1022.200
559406.000,559381.000,1022.200
559397.000,559386.000,1022.200
559405.000,559391.000,1022.300
559416.000,559394.000,1022.300
559400.000,559397.000,1022.300
559416.000,559402.000,1022.300
559437.000,559405.000,1022.300
559404.000,559408.000,1022.300
559400.000,559407.000,1022.300
559392.000,559405.000,1022.200
559397.000,559403.000,1022.200
559391.000,559400.000,1022.200
559406.000,559400.000,1022.200
559402.000,559400.000,1022.200
559390.000,559401.000,1022.200
559367.000,559398.000,1022.200
559359.000,559390.000,1022.200
559366.000,559384.000,1022.200
559392.000,559380.000,1022.100
559404.000,559383.000,1022.100
559416.000,559388.000,1022.200
559404.000,559392.000,1022.200
559379.000,559395.000,1022.200
559382.000,559392.000,1022.100
559368.000,559389.000,1022.100
559366.000,559383.000,1022.100
559394.000,559380.000,1022.100
559393.000,559383.000,1022.100
559382.000,559385.000,1022.100
559395.000,559387.000,1022.100
559392.000,559389.000,1022.100
559388.000,559389.000,1022.100
559367.000,559389.000,1022.100
559363.000,559384.000,1022.100
559370.000,559379.000,1022.100
559371.000,559377.000,1022.100
559372.000,559376.000,1022.100
559380.000,559375.000,1022.000
559389.000,559376.000,1022.000
559401.000,559379.000,1022.000
559398.000,559384.000,1022.000
559399.000,559388.000,1022.000
559425.000,559391.000,1022.000
559443.000,559399.000,1022.100
559436.000,559408.000,1022.100
559417.000,559415.000,1022.100
559433.000,559420.000,1022.100
559415.000,559419.000,1022.100
559424.000,559420.000,1022.100
559435.000,559421.000,1022.100
559428.000,559423.000,1022.100
559430.000,559425.000,1022.100
559434.000,559426.000,1022.100
559432.000,559428.000,1022.100
559444.000,559429.000,1022.100
559432.000,559430.000,1022.100
559431.000,559430.000,1022.100
559456.000,559431.000,1022.100
559459.000,559437.000,1022.100
559459.000,559443.000,1022.100
559452.000,559447.000,1022.100
559440.000,559448.000,1022.100
559440.000,559446.000,1022.100
559439.000,559445.000,1022.100
559443.000,559443.000,1022.100
559455.000,559443.000,1022.100
559470.000,559446.000,1022.100
559480.000,559452.000,1022.100
559486.000,559459.000,1022.100
559473.000,559464.000,1022.100
559465.000,559467.000,1022.100
559472.000,559468.000,1022.100
559462.000,559467.000,1022.100
559461.000,559466.000,1022.100
559487.000,559465.000,1022.100
