I0,I1,I2
286207.000,286207.000,507.200
285375.000,285999.000,507.000
284961.000,285740.000,506.700
284696.000,285545.000,506.500
284520.000,285333.000,506.200
284405.000,285129.000,506.000
284303.000,284948.000,505.800
284219.000,284787.000,505.600
284168.000,284645.000,505.300
284123.000,284526.000,505.100
284082.000,284425.000,504.900
284032.000,284339.000,504.800
284014.000,284262.000,504.600
283988.000,284200.000,504.500
283951.000,284147.000,504.500
283915.000,284098.000,504.400
283910.000,284052.000,504.300
283905.000,284017.000,504.300
283864.000,283989.000,504.200
283843.000,283958.000,504.200
283817.000,283929.000,504.100
283782.000,283901.000,504.100
283775.000,283871.000,504.000
283760.000,283847.000,504.000
283749.000,283825.000,504.000
283749.000,283806.000,503.900
283723.000,283792.000,503.900
283720.000,283775.000,503.900
283717.000,283761.000,503.900
283693.000,283750.000,503.900
283676.000,283736.000,503.800
283681.000,283722.000,503.800
283682.000,283712.000,503.800
283674.000,283704.000,503.800
283651.000,283697.000,503.800
283627.000,283685.000,503.800
283627.000,283671.000,503.800
283611.000,283660.000,503.800
283606.000,283648.000,503.800
283590.000,283637.000,503.700
283576.000,283625.000,503.700
283566.000,283613.000,503.700
283567.000,283602.000,503.700
283549.000,283593.000,503.700
283539.000,283582.000,503.700
283526.000,283571.000,503.700
283520.000,283560.000,503.700
283512.000,283550.000,503.600
283505.000,283540.000,503.600
283513.000,283533.000,503.600
283513.000,283528.000,503.600
283499.000,283524.000,503.600
283477.000,283518.000,503.600
283471.000,283508.000,503.600
283461.000,283499.000,503.600
283450.000,283489.000,503.500
283445.000,283479.000,503.500
283444.000,283471.000,503.500
283448.000,283464.000,503.500
283444.000,283459.000,503.500
283428.000,283455.000,503.500
283411.000,283449.000,503.500
283415.000,283440.000,503.500
283426.000,283434.000,503.500
283401.000,283429.000,503.500
283403.000,283423.000,503.500
283420.000,283418.000,503.500
283402.000,283414.000,503.500
283416.000,283415.000,503.500
283441.000,283415.000,503.500
283436.000,283420.000,503.500
283417.000,283424.000,503.600
283425.000,283424.000,503.600
283424.000,283424.000,503.600
283432.000,283424.000,503.600
283432.000,283426.000,503.600
283417.000,283428.000,503.600
283416.000,283425.000,503.600
283436.000,283423.000,503.600
283423.000,283423.000,503.600
283432.000,283425.000,503.600
283420.000,283425.000,503.600
283412.000,283424.000,503.600
283438.000,283423.000,503.600
283448.000,283426.000,503.600
283445.000,283431.000,503.600
283448.000,283435.000,503.600
283429.000,283438.000,503.600
283432.000,283436.000,503.600
283433.000,283435.000,503.600
283424.000,283434.000,503.600
283408.000,283432.000,503.600
283407.000,283426.000,503.600
283400.000,283421.000,503.600
283400.000,283416.000,503.600
283409.000,283412.000,503.500
283408.000,283411.000,503.500
283420.000,283410.000,503.500
283419.000,283413.000,503.500
283399.000,283414.000,503.500
283399.000,283410.000,503.500
283410.000,283408.000,503.500
283418.000,283408.000,503.500
283410.000,283409.000,503.500
283421.000,283411.000,503.400
283416.000,283412.000,503.400
283424.000,283414.000,503.400
283424.000,283417.000,503.400
283415.000,283419.000,503.400
283417.000,283418.000,503.400
283406.000,283417.000,503.400
283396.000,283415.000,503.400
283398.000,283410.000,503.300
283415.000,283407.000,503.300
283417.000,283409.000,503.300
283416.000,283411.000,503.300
283424.000,283412.000,503.300
283424.000,283415.000,503.300
283424.000,283417.000,503.300
283423.000,283419.000,503.300
283412.000,283420.000,503.300
283418.000,283420.000,503.200
283427.000,283419.000,503.200
283431.000,283421.000,503.200
283426.000,283423.000,503.200
283426.000,283423.000,503.200
283421.000,283424.000,503.200
283419.000,283423.000,503.200
283421.000,283423.000,503.200
283423.000,283422.000,503.200
283398.000,283422.000,503.100
283405.000,283418.000,503.100
283404.000,283414.000,503.100
283406.000,283412.000,503.100
283405.000,283410.000,503.100
283400.000,283409.000,503.100
283398.000,283407.000,503.000
283394.000,283405.000,503.000
283408.000,283403.000,503.000
283418.000,283404.000,503.000
283412.000,283406.000,503.000
283417.000,283409.000,503.000
283432.000,283411.000,503.000
283438.000,283416.000,503.000
283425.000,283420.000,503.000
283437.000,283424.000,503.000
283439.000,283428.000,503.000
283445.000,283430.000,503.000
283428.000,283433.000,503.000
283423.000,283431.000,502.900
283419.000,283429.000,502.900
283418.000,283427.000,502.900
283420.000,283425.000,502.900
283410.000,283423.000,502.900
283407.000,283420.000,502.900
283399.000,283417.000,502.900
283399.000,283412.000,502.900
283386.000,283409.000,502.900
283400.000,283406.000,502.900
283391.000,283403.000,502.800
283378.000,283400.000,502.800
283401.000,283398.000,502.800
283396.000,283397.000,502.800
283387.000,283397.000,502.800
283392.000,283396.000,502.800
283401.000,283395.000,502.800
283392.000,283394.000,502.800
283379.000,283394.000,502.800
283377.000,283390.000,502.800
283378.000,283387.000,502.800
283387.000,283385.000,502.800
283373.000,283383.000,502.800
283384.000,283383.000,502.700
283382.000,283383.000,502.700
283384.000,283383.000,502.700
283391.000,283383.000,502.700
283378.000,283384.000,502.700
283371.000,283382.000,502.700
283384.000,283381.000,502.700
283368.000,283379.000,502.700
283365.000,283376.000,502.700
283377.000,283374.000,502.700
283389.000,283375.000,502.700
283390.000,283378.000,502.700
283400.000,283381.000,502.700
283383.000,283383.000,502.700
283381.000,283383.000,502.700
283380.000,283383.000,502.700
283369.000,283382.000,502.700
283385.000,283382.000,502.700
283401.000,283382.000,502.700
283401.000,283387.000,502.700
283421.000,283391.000,502.700
283438.000,283398.000,502.700
283440.000,283408.000,502.700
283436.000,283416.000,502.700
283428.000,283421.000,502.700
283425.000,283423.000,502.700
283441.000,283424.000,502.700
283432.000,283426.000,502.700
283424.000,283427.000,502.700
283451.000,283429.000,502.700
283455.000,283434.000,502.700
283475.000,283439.000,502.700
283497.000,283448.000,502.700
283477.000,283455.000,502.700
283452.000,283461.000,502.700
283456.000,283460.000,502.700
283451.000,283458.000,502.700
283461.000,283457.000,502.700
283469.000,283458.000,502.700
283471.000,283461.000,502.700
283477.000,283463.000,502.700
283485.000,283467.000,502.700
283491.000,283471.000,502.700
283493.000,283476.000,502.700
283492.000,283480.000,502.700
283497.000,283483.000,502.700
283500.000,283487.000,502.700
283513.000,283490.000,502.800
283522.000,283496.000,502.800
283520.000,283502.000,502.800
283514.000,283506.000,502.800
283526.000,283510.000,502.800
283537.000,283514.000,502.800
283536.000,283519.000,502.800
283540.000,283524.000,502.800
283536.000,283527.000,502.800
283516.000,283529.000,502.800
283521.000,283527.000,502.800
283527.000,283526.000,502.800
283528.000,283526.000,502.800
283529.000,283526.000,502.800
283533.000,283527.000,502.800
283538.000,283529.000,502.800
283548.000,283531.000,502.800
